"Timestamp","CPU_Usage","Mem_Avail_MB","Disk_BytesPerSec","FileIO_BytesPerSec"
"2025-05-08_14-51-56","1.62","451.00","260,931.69","58,697.39"
"2025-05-08_14-52-10","0.00","457.00","48,562.92","4,103.86"
"2025-05-08_14-52-24","0.06","444.00","0.00","0.00"
"2025-05-08_14-52-38","0.89","442.00","0.00","415.29"
"2025-05-08_14-52-53","0.00","431.00","49,372.05","154,288.07"
"2025-05-08_14-53-07","2.76","426.00","44,800.82","0.00"
"2025-05-08_14-53-21","1.21","424.00","40,509.51","0.00"
"2025-05-08_14-53-36","2.46","432.00","40,712.96","0.00"
"2025-05-08_14-53-50","0.00","429.00","49,116.50","0.00"
"2025-05-08_14-54-04","0.00","428.00","45,012.02","0.00"
"2025-05-08_14-54-18","3.28","518.00","0.00","0.00"
"2025-05-08_14-54-33","1.18","528.00","40,797.81","414.28"
"2025-05-08_14-54-47","0.00","526.00","0.00","0.00"
